TIME(SECONDS)		FISH1	FISH2	FISH3	FISH4	FISH5	FISH6	FISH7	FISH8	FISH9	FISH10	FISH11	FISH12	FISH13	FISH14	FISH15	FISH16	FISH17	FISH18	FISH19	FISH20	FISH21	FISH22	FISH23	FISH24	FISH25	FISH26	FISH27	FISH28	FISH29	FISH30	FISH31	FISH32	FISH33	FISH34	FISH35	FISH36	FISH37	FISH38	FISH39	FISH40	FISH41	FISH42	FISH43	FISH44	FISH45	FISH46	FISH47	FISH48	FISH49	FISH50	FISH51	FISH52	FISH53	FISH54	FISH55	FISH56	FISH57	FISH58	FISH59	FISH60	FISH61	FISH62	FISH63	FISH64	FISH65	FISH66	FISH67	FISH68	FISH69	FISH70	FISH71	FISH72	FISH73	FISH74	FISH75	FISH76	FISH77	FISH78	FISH79	FISH80	FISH81	FISH82	FISH83	FISH84	FISH85	FISH86	FISH87	FISH88	FISH89	FISH90	FISH91	FISH92	FISH93	FISH94	FISH95	FISH96			CLOCK
840	900	0.9	1	0	2.2	2.5	0.1	0	3.5	1.5	0.2	0.2	0.1	0.1	2.3	0.6	4.7	2.4	1.8	0.3	4.7	0	2.5	0.1	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	1.1	0	9.5	0	0	5.8	7.6	0	0	10.2	0	0	0	0.3	0	0	0	0.6	0	0	0	0.4	0	0	0	0	8.3	2.1	4.5	0	0	0.9	0	0	0	0	0	0	6	5.4	6.5			11.879
900	960	0.5	2	0	1.8	4.6	0.3	0	0.8	0	0.9	1.2	0.6	0	3.9	2.5	4.5	0.3	3.5	0.3	5.1	0.9	5.1	0.3	1.5	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1	1.6	0	9.6	0	0	5.2	8.9	0	0	10.1	0	0.6	0.1	0	0	0	0.1	0	0	0.6	0	0.8	0	0	0	0	8	2.9	0	0	0	0.1	0	0	0	0	0	0	8.4	6	3			11.896
960	1020	0.6	1.6	0.7	1.6	4.9	0.8	0	2	1.5	0.2	2.1	0	0.4	2.5	0.7	3.3	1.5	1.4	0.6	4.3	3.9	1.3	0	2.3	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1	0	0	10.7	0	0	3	9	0	0	8.4	0	0.3	0	0.1	0	0	0	0	0	0	0	0.1	0	0	0	0	8	2.5	0	0	0.1	0	0	0	0	0	0	0	8.5	6.8	1.6			11.912
1020	1080	0.3	1.3	1.6	0.8	3.1	0.2	0	0.7	1.2	0	2.7	0.3	0	0.4	1.2	7.4	1.7	0	1.4	3.4	1.7	1.4	0.8	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	10.7	0	1.9	8.6	0	0	5.8	4.2	0	0	10.3	0	0.3	0.3	1.2	0	0	0.3	0.1	0	0	0	0.1	0	0	0	0	6.7	1.7	0	0	0	0	0.1	0	0	0	0	0	7.8	6	4.1			11.929
1080	1140	0.4	2.6	7.8	0	3.9	0.2	0.7	2.1	0	0.1	1.1	0.2	0.7	1.1	0.4	3.7	1.7	1.4	0.3	2.7	0	4.8	0.1	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	10.4	0.2	0	8.3	0	0	4.8	0	2.2	0	8.3	0	0.1	0	1.6	0	0	0.1	0.1	0	0	0	0.5	0	0.1	0	0	1.8	2.5	0.3	0	0	0	0	0	0	0	0	0	7.8	6	3.6			11.946
1140	1200	0.2	1.2	3.1	1.8	7.3	0	0.7	5.6	0.9	0.1	2	0.6	1.2	0.7	3.2	4	1.3	1.8	0	6	1.3	5.6	0	2.9	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	10.7	0	4.2	6.5	0	0	5.3	0	1.1	0	0.2	0	0.3	0	1.6	0	1.3	0	0.2	0	0	0	0.1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3.9	5.6	5.4			11.962
1200	1260	0.7	1.7	3.1	1.8	7	0.2	0.5	4.1	1.1	0.5	1.1	0.6	5.2	0	0.5	4.5	1.2	1.1	2.4	1.1	3.1	2.3	0	2.9	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	9.5	0	3.6	0	0	0.1	5.6	0.1	0	0	0	0	0.1	0	2.4	0.1	0	0	0	0	0	0.1	0	0	0.1	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	7.1	4.1	2.5			11.979
1260	1320	1.1	3.8	0	1.2	5.3	0.1	0.4	3.7	0.4	0.2	1	0.5	0	0.3	3.3	3.8	1.8	3	0.8	1.7	3	2.1	3.5	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	10.9	0	5.9	0	1.2	0	0.2	0.2	0	0	0	0	0.1	0	4	0.2	0	0.8	1.2	0	0	0	0	0	0.1	0	0	0	2.6	0	1.6	0	0	0	0	0	0	0	0	7.8	3.8	5.6			11.996
1320	1380	0.2	1.9	12.5	0.8	2.1	0.3	0.9	1.6	1.3	0.3	1.8	0.1	3	1.5	1.2	2.5	0.3	3	0.9	5.4	1	4.8	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8	0	6.2	0	3.5	0	2.3	0	0	0	0.1	0	0.1	0	0.1	0.1	0	1	0.1	0	0	2.4	0	0	0	0	0	0	3.5	0	1.1	0	0	0	0	0	0	0	0	7.6	4.6	5			12.012
1380	1440	0.6	0.5	8.4	1.3	6.1	0.3	0.1	3	1.1	0.3	0.2	0.1	3.5	0.4	2.8	1.5	2.1	2.6	0.9	3.2	0	4.6	1.6	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4.8	0	2.7	0	2.6	0.3	0	0	0	0	0.9	1	0.1	0	0	0	0	0	0.1	3.2	0	0	0	0	0	0	2.7	0.1	1.6	0	0	0	0	0	0	1.8	0	7	4.6	7.3			12.029
1440	1500	0.1	0.6	7.3	0	4.9	0.2	0.5	2.9	1.9	0.8	0.5	0.5	1.7	0	2	2	1.4	0.9	1.3	2.7	0	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	2.7	0	9.6	0	1.9	0	4.2	0.1	0	0	0	0	0.1	1.9	0	0	0	0	0.2	0	0.1	0.3	0	0	0	0	0	0	2.6	0.2	1.5	0	0	0.3	0	0	0	3	0	9.8	4.8	5.4			12.046
1500	1560	0.5	3.3	3.8	3.8	5.8	0.1	0.1	8.7	1.6	0.1	1.7	0.8	4.2	2	1.1	0.4	2.4	0.2	1.9	2	4.4	0	1	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0.7	0.3	0	7.2	0	2.4	0	1.6	0	0.9	0	0	0	0	0	0.2	0	0	0.2	0.3	0	0	0	0	0	0	0	0	0	2.4	0	0.8	0.5	0	0	0	0	0	5.2	0	7.4	5	7.1			12.062
1560	1620	0.7	0.2	0.1	5.5	8.7	0	0	2.3	0.1	0.5	0.7	0.1	4.3	2.2	2.9	0.6	1.9	1.8	1.9	4.3	4.5	2.8	1.7	1.8	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.2	0	8.3	0	0	0	1.6	0.2	0.1	0	0	0	0.2	0	0.2	0.1	0	0	0.4	0	0	0	0	0	0	0	0	0	0.8	0	0	1.3	0	3.2	0	0	0	0.2	0.1	9.1	5.1	7.7			12.079
1620	1680	0.7	0.7	1.8	1.4	2.3	0	0.1	6.5	0.3	0.2	1.8	0.2	3.3	0.7	0.4	1.4	4.3	1.3	1	7.2	0	5.3	0.2	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	9.7	0	0.4	0	3.6	0.4	0.1	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.1	3.3	0	0	1.5	0	0	5.8	0	0.1	0	0	0	0	0	9.1	4.9	4.1			12.096
1680	1740	0.2	1.8	0.8	1.2	2.1	0.1	0.1	3	0.9	0.3	1.8	0.5	5.1	1	0.3	2.4	5.5	0.4	1.4	10.6	1.5	0.5	1.4	1.6	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1	0	0	0	3	0.9	0	0	0	0	0	2.2	0.3	0	0	0.2	0.5	0	0	0	0	0	3.2	1.3	0	0	2	0.1	3.6	2.6	0	0	0	0	0	0	0	8.1	5.9	1.4			12.112
1740	1800	1.4	0.1	7	3.8	0.9	0	2.4	0.6	1.2	0.3	1.1	0.1	1.5	1.7	1.4	2	3.6	0.5	0.5	2.8	1.9	2.2	4.3	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0.1	0	9.2	0	0	0	3.8	0.2	0	0	0	0	0	0	0.3	0	0	0	0.3	0	0	0	0	0	6.7	0	0	0	1.4	0.8	1.8	0	0	0	0	0	0	0	0	7.7	4.2	3.8			12.129
1800	1860	0.3	0.8	2.1	7.2	3.8	0	0.9	3.2	0	0.1	4.4	0.1	2.3	1.7	1.5	4.5	1.2	0.5	0.8	3.1	2.1	3.9	1	2.4	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	10.3	0	0	0	0.4	0	0.1	0	0	0	0.1	0	0.4	0.5	0	0.1	0.4	0	0.1	0.2	0	0	6.5	0	0	0	0.8	0	6.6	0	0	0	0	0	0	0	0	8	4.4	0			12.146
1860	1920	0.5	0.9	0	4.4	3.3	0.8	0.9	1	0.8	0.3	2.9	0.1	3.8	1.4	2.1	0.9	1.2	0.7	1.2	4.7	1.5	2.4	1.1	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	8.2	0	0	0	4.9	0.1	0	0	0	0	0.6	0	0.3	0	0	4.7	0	0	0.1	0	0	0	5.6	0	0	0	1.8	0	2.6	0	0	0	0	0	0	0	0	7.8	4.1	2.5			12.162
1920	1980	0.8	2	0.1	0.2	5.5	0.1	0.9	0	1.7	0.1	2	0	0.3	0.7	5.2	1.1	1.4	1.1	2	2.1	0.1	5.5	0.9	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2	0	9.3	0	0	0	3.2	0.4	0	0	0	0	0	0	0.7	0	0	0.1	0	0	0.4	0	0	0	6.7	0	0	0	1.2	0.7	0	0	0	0	0	0	0	0	0	7.8	5.5	0.6			12.179
1980	2040	0.3	3.6	0.5	0	6.9	0.6	0.6	0	3	1.7	1	0	5	0.5	1.1	3.6	0	1.3	2.8	0.3	0.7	2.1	0.4	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.4	9.3	0	0	0	1	0.1	0	0	0.3	0	3.2	1.2	0.2	0	0	0.4	0	0	0	0.2	0	0	7.7	0	0	0	1.9	1.6	0	0	0	0.7	0	0	0	0	0	7.5	3.7	3.9			12.196
2040	2100	0	4.5	0	0.1	4.1	0.3	0.6	0.7	0.8	0.6	2.3	0	2.5	0.6	1.1	5.4	1.5	0.2	3.5	0.7	2.7	1.6	1.9	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	3.2	0	9.5	0.1	0	0	2	0	0	0	0	0	0.4	2.5	0.7	0	0.6	0	0	0	0	4.5	0	0	7.9	0	0	0	0.3	0	2.6	0.1	0	0	0	0	0.1	0	0	7.9	3.6	2.2			12.212
2100	2160	0	3.8	1.3	2.7	2.2	0.7	0.7	3.1	0.6	0.2	2.4	0	3.6	0.4	1.7	3	1.5	1.7	1.6	1.3	3.1	5.2	0	4.6	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0.1	0.1	0	8.7	0	0	0	2.9	2.6	0	0	0	0	0	3.8	1.1	0	0	0	0	0	0	2.3	0	0	7	0	0	0	1.8	0	4	0	0	0	0	0	0.3	0	0.3	5.5	3	0			12.229
2160	2220	0.3	6.3	0.6	1.4	1	0	0.1	3.9	0.1	0	3.3	0.4	0.7	2.5	0.4	4.1	2.9	3.1	0.6	3	0.3	6.4	0.7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2	0.3	0	0	5.9	0	0	8.3	0	0	0	2.3	1.5	0	0	0.2	0	0	3.9	1	0	0	0	0	0	0	0	0	0	8.3	0.1	0	0	0.1	0.1	5.7	5.6	0	0	0	0	0	0	0	5.9	3	0.2			12.246
2220	2280	0.8	4.5	1.5	2.3	2.8	0.1	0.2	4.6	0.6	0.3	2.6	0.7	4.7	0.5	1.8	2.8	4	0	0.7	1.9	4.3	1.3	0.3	1.8	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0	0	8.8	0	0.1	0	0.2	0.7	0	0	0	0	3.3	0	0.8	0	0	0	0	0	0	2.6	0	0	8.8	0	0	0	0.8	0	5.3	6.5	0	0	0	0	0	0	0	6.5	1.8	0			12.262
2280	2340	0.9	4.5	0.8	2.2	4.3	0.1	0.3	0.9	1.3	0.3	2.7	0.5	4.1	0	1.3	1.9	0.8	1.3	0.8	1	1.4	2.3	0.8	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.5	0	0	9.5	0	0	0	7.5	0.2	0	0	0	0	4.3	0	0.5	0	1	0	0.2	0	0	6.4	0	0	8.9	0	0	0	0.6	0.1	0	3.6	0	0	0	0	0	0	0	6	3.3	0			12.279
2340	2400	0.5	5.9	0.3	0.8	9.1	1.6	0.6	0.7	0.3	0.7	0.5	0.1	1.2	0.1	3.2	4.6	0.9	0	2.5	1.1	3.1	0	2.3	1.7	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5	0	0.1	4.8	2.5	0	0	2.4	1.1	0	0	0	0	0.1	0	3.6	0	0.7	0	0.1	0	1	7.7	0	0	8.9	0	0.1	0	1	0	0	0	0	0.7	0	0	0	0	0	7.1	3.7	0			12.296
2400	2460	0.7	0	2	3.1	3.5	0.2	0.7	1.9	0.4	1.5	1.7	0	4.6	0.5	1.9	0.7	0.9	0.8	1	1.2	0.8	0.8	1.5	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	8.2	0	0	8.9	0	0	0	0	0.2	0	0	0.2	0	0	0	2.5	0	0	0.2	0	0	0.8	8	0.1	0	7.1	0	0	0	0.1	0.2	0	0	0	0	0	0.2	0	0	0	7.9	4.1	0			12.312
2460	2520	1.4	0	0.1	0.7	2.3	0.2	0	5.6	0.1	0.2	0.9	0	2.8	1.3	1.2	4.3	0.6	0.5	1.8	2	2.2	5.8	0.9	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1	0	0.1	7.7	0	0	0	0	0.5	0.1	0	0.2	0	0	0	1.5	0	0.1	0.7	0.3	0	0.2	7.3	0	0	7.3	0	0	0	1.1	0	0	0	0	0	0	0.2	0	0	0	7.5	5.5	0			12.329
2520	2580	0.2	2	0.1	0.4	6.6	0.1	0	5.1	1.5	0.1	1.8	0.6	3.6	1.1	2	0.3	0.9	0.6	1.9	1.8	2.6	2.4	3.7	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9	0	0	8.4	0	1.9	0	0	1.6	0.9	0	0.3	0	0	0	2.9	0	0	1.1	0	0	0	7	2.2	0.2	5.8	0	0.1	0	0.1	0	0	0	0	0	0	0.6	0	0	0	6.3	2.8	0			12.346
2580	2640	0.4	5.7	2.2	0.4	2.9	0.2	0.2	2.8	0.7	0.1	4	0.5	2.9	2.5	0.1	2.4	3.5	0.8	0.2	6.6	0.5	3.3	3.1	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.7	0	5.8	0	0	8.9	0	3.6	0	0	7.8	0	0.2	0	0	0	0	1.6	0	0.8	0	0	0.1	0	7.7	2.9	0	6.4	0	0	0	0.5	0	0	0	0	0	0.2	0	0	0	0	7.8	4	0			12.362
2640	2700	1.2	1.1	2.3	2	3.6	0.3	1.7	1	1.5	0.1	0.8	1.6	0.8	1.5	0.7	1	6	0.9	1.5	4.3	0	7.9	0.5	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	7.5	0	0	8.5	0	4.1	0	0	9.9	0	0	7.6	0	0	0	1.4	0	0.3	0	0	0	0	8.4	0.1	0	4.5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8.6	3	0			12.379
